"title","feedUrl","htmlUrl"
"Cameron Blevins","http://historying.org/feed/","http://www.cameronblevins.org/"
"History in the City","http://historyinthecity.blogspot.com/feeds/posts/default?alt=rss","http://historyinthecity.blogspot.com/"
"Historyonics","http://historyonics.blogspot.com/feeds/posts/default","http://historyonics.blogspot.com/"
"Knitting Clio","http://hmprescott.wordpress.com/feed/","http://knittingclio.org/"
"( )holey Spaces","http://holeyspaces.tumblr.com/rss","http://holeyspaces.tumblr.com/"
"howhumanistsread","http://howhumanistsread.com/feed/","http://howhumanistsread.com/"
"HTLit","http://htlit.com/rss.xml","http://htlit.com/"
"Humanities, Librarianship and Technology","http://humanitieslibrarianshipandtechnology.blogspot.com/feeds/posts/default","http://humanitieslibrarianshipandtechnology.blogspot.com/"
"Ian T. Thomas","http://iantthomas.com/feed/","http://iantthomas.com/"
"a historian's craft","http://idlethink.wordpress.com/feed/","http://idlethink.wordpress.com/"
"Digital History Seminar","http://ihrdighist.blogs.sas.ac.uk/feed/","http://ihrdighist.blogs.sas.ac.uk/"
"Infocult: Uncanny Informatics","http://infocult.typepad.com/","http://infocult.typepad.com/infocult/"
"inkdroid","http://inkdroid.org/journal/","http://inkdroid.org/journal"
"iRevolutions","http://irevolution.net/feed/","http://irevolution.net/"
"Performing the Digital → Blog » Performing the Digital → Blog","http://jadedid.com/performingthedigital/feed/","http://jadedid.com/performingthedigital"
"Shreds and Patches","http://jasonbairdjackson.com/feed/","http://jasonbairdjackson.com/"
"Jeana Jorgensen, Ph.D.","http://jeanajorgensen.com/wordpress/?feed=rss2","http://jeanajorgensen.com/wordpress"
"Jeffrey Schnapp","http://jeffreyschnapp.com/feed/","http://jeffreyschnapp.com/"
"Current-flow (home)","http://jenboyle.squarespace.com/current-flow/rss.xml","http://jenboyle.squarespace.com/current-flow/"
"Jerz's Literacy Weblog » Cyberculture","http://jerz.setonhill.edu/cyberculture/feed/","http://jerz.setonhill.edu/"
"Joseph F. Turcotte","http://jfturcotte.wordpress.com/feed/","http://jfturcotte.wordpress.com/"
"John Laudun","http://johnlaudun.org/","http://johnlaudun.org/"
"josullivan.org","http://josullivan.org/feed/","http://josullivan.org/"
"Juliette Levy","http://juliettelevy.org/feed/","http://juliettelevy.org/"
